VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2015-10-01 00:00:12,2015-10-01 00:09:25,1,1.40,-73.985153198242188,40.752910614013672,1,N,-73.974479675292969,40.744159698486328,1,8,0.5,0.5,1.85,0,0.3,11.15
1,2015-10-01 00:00:12,2015-10-01 00:20:58,1,5.30,-73.97662353515625,40.788223266601562,1,N,-73.987823486328125,40.733669281005859,1,19.5,0.5,0.5,4.15,0,0.3,24.95
2,2015-10-01 00:00:12,2015-10-01 00:12:31,1,1.98,-74.004310607910156,40.742469787597656,1,N,-73.989830017089844,40.762439727783203,1,10,0.5,0.5,1,0,0.3,12.3
2,2015-10-01 00:00:12,2015-10-01 00:27:45,1,11.20,-73.956047058105469,40.771888732910156,1,N,-73.832252502441406,40.764324188232422,1,34.5,0.5,0.5,9,5.54,0.3,50.34
1,2015-10-01 00:00:13,2015-10-01 00:04:42,1,1.00,-74.002708435058594,40.728511810302734,1,N,-73.990043640136719,40.733367919921875,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2015-10-01 00:00:14,2015-10-01 00:27:32,1,5.70,-73.988014221191406,40.728126525878906,1,N,-73.917976379394531,40.754909515380859,1,21.5,0.5,0.5,6.8,0,0.3,29.6
1,2015-10-01 00:00:14,2015-10-01 00:05:14,1,1.10,-73.990776062011719,40.744663238525391,1,N,-73.978752136230469,40.752677917480469,1,6,0.5,0.5,1.8,0,0.3,9.1
1,2015-10-01 00:00:14,2015-10-01 00:03:46,1,.90,-73.969757080078125,40.7659912109375,1,N,-73.980026245117188,40.770832061767578,2,5,0.5,0.5,0,0,0.3,6.3
1,2015-10-01 00:00:14,2015-10-01 00:06:10,1,1.10,-73.992599487304688,40.724601745605469,1,N,-74.004722595214844,40.718780517578125,1,6.5,0.5,0.5,1.95,0,0.3,9.75
1,2015-10-01 00:00:14,2015-10-01 00:32:04,2,7.90,-73.98516845703125,40.761119842529297,1,N,-73.860244750976563,40.729129791259766,1,28,0.5,0.5,0,0,0.3,29.3
2,2015-10-01 00:00:14,2015-10-01 00:13:16,1,4.16,-73.952407836914062,40.777011871337891,1,N,-73.994682312011719,40.734729766845703,1,14,0.5,0.5,2,0,0.3,17.3
2,2015-10-01 00:00:14,2015-10-01 00:14:05,2,4.03,-73.956329345703125,40.772441864013672,1,N,-73.999641418457031,40.738677978515625,1,14,0.5,0.5,1.5,0,0.3,16.8
2,2015-10-01 00:00:14,2015-10-01 00:05:32,1,.80,-73.998428344726563,40.717449188232422,1,N,-73.987846374511719,40.719150543212891,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2015-10-01 00:00:14,2015-10-01 00:10:29,5,1.30,-73.993629455566406,40.720321655273437,1,N,-73.992462158203125,40.735538482666016,1,8.5,0.5,0.5,1,0,0.3,10.8
